id,cohort,job_title,company,city,source,source_url,page_date,date_type,status,education,responsibilities,required_skills,preferred_skills,evidence_note
J11,core,AI开发与算法实习生-XC,博世中国,苏州,实习僧,https://www.shixiseng.com/intern/inn_kicwirkyhdga,2026-06-18,刷新日期,招聘中,硕士,"迭代 Agent 推理规划、记忆、上下文和工具边界；搭建混合检索与向量召回全流程","Python;Agent;RAG;Embedding;向量数据库;LangChain;LangGraph;重排序;数据处理","大模型评测;数据库","明确关键词与语义向量混合检索、数据清洗到向量召回"
J12,core,Agent系统开发工程师实习生,蔚来,上海,实习僧,https://www.shixiseng.com/intern/inn_22y8tyrxejtr,2026-04-16,刷新日期,已下线,本科及以上,"实现 LangGraph/MCP/LlamaIndex 工作流、文档解析、RAG、API、异步任务、数据库和监控测试","Python;FastAPI;RAG;Embedding;向量数据库;Prompt Engineering;Agent;Function Calling;MCP;LangGraph;LlamaIndex;数据库;异步编程;自动化测试;日志与可观测性;大模型评测","Redis;MongoDB;前端或演示页面","最接近 KnowFlow 全链路的单条岗位样本"
J13,core,AI Agent研发暑期实习生 J16600,国金证券,上海,实习僧,https://www.shixiseng.com/intern/inn_lxjfkljr3xvi,2026-06-25,刷新日期,招聘中,硕士及以上,"开发金融 Agent、知识库和向量索引；进行模型微调、评测、合规安全和原型验证","Python;Agent;RAG;Embedding;向量数据库;Function Calling;LangChain;LangGraph;Git;自动化测试;大模型评测;数据处理","重排序;微调;PyTorch;知识图谱","应用与算法交叉岗位；工程要求纳入核心，训练要求另作算法项"
J14,core,时序预测Agent开发工程师（日常实习生）,远景智能,上海,实习僧,https://www.shixiseng.com/intern/inn_hlth3gydnttg,2026-03-11,刷新日期,招聘中,本科及以上,"构建时序 Agent 的任务拆分、逻辑流转和多工具调用；完成数据清洗、调优、部署和校验","Python;Agent;Function Calling;LangChain;LangGraph;数据处理;大模型评测","数据库;Docker;自动化测试","专门场景但能反映任务拆解与多工具工程要求"
J15,core,地图事业部-算法实习生（LLM Agent）,滴滴,北京,实习僧,https://www.shixiseng.com/intern/inn_evur1dawv8gc,2026-07-09,刷新日期,已下线,本科及以上,"设计任务拆解、工具调用、上下文、检索、多源证据比对和自动评测工作流","Python;Agent;RAG;Embedding;Function Calling;大模型评测;数据处理","微调;重排序;数据库","职责明显偏 Agent 应用与数据生产，纳入核心组"
J16,core,LLM-R&D 后端研发实习生,滴滴,北京,实习僧,https://www.shixiseng.com/intern/inn_elmmsmif6gan,2025-07-31,刷新日期,已下线,本科及以上,"开发 RAG、Agent 编排和高并发后端；建设部署、监控与推理工程工具链","Python;Agent;RAG;Docker;Linux;日志与可观测性;自动化测试;数据处理","FastAPI;CI/CD;微调;分布式推理","位于一年窗口内，保留为工程化和部署样本"
J17,core,AI大模型实习生,西门子,北京,实习僧,https://www.shixiseng.com/intern/inn_oo4ibamkqgv5,2025-12-30,刷新日期,招聘中,硕士,"使用 Prompt、RAG 和 Python 开发语义搜索、数据处理、训练和评估任务","Python;RAG;Prompt Engineering;数据处理;大模型评测","Agent;Embedding;开源大模型 API","岗位未明确向量数据库或具体框架，不计相关技能"
J18,core,人工智能算法与应用实习生（HMI Agent测试）,西门子工业自动化,成都,实习僧,https://www.shixiseng.com/intern/inn_egbdwrzngonq,2026-07-07,刷新日期,已下线,本科及以上,"构建 AI Agent 驱动的 HMI 自动化端到端测试框架，模拟用户行为并提升覆盖率","Python;Agent;自动化测试;大模型评测","前端或演示页面;数据处理","无 RAG、Prompt、框架明示，不做推断"
J19,core,AI大模型应用开发实习生,蜀俊博凌,成都,实习僧,https://www.shixiseng.com/intern/inn_jqmv7h6gqe1q,2026-07-20,刷新日期,招聘中,本科及以上,"参与 RAG、提示工程、效果数据分析和大模型应用落地","Python;RAG;Prompt Engineering;数据库;数据处理;大模型评测","微调;强化学习","页面只写智能体构建概念，不计具体 Agent 框架"
J20,core,AI算法实习生（RAG 与对话 Agent）,梵昇数智,深圳,实习僧,https://www.shixiseng.com/intern/inn_epojl5qotstz,2026-07-03,刷新日期,招聘中,本科及以上,"构建知识图谱、数据清洗、向量化、索引、RAG、对话 Agent 与性能评估","Python;Agent;RAG;Embedding;向量数据库;Prompt Engineering;Git;大模型评测;数据处理","微调;PyTorch;知识图谱;Neo4j","职责同时覆盖应用链路与少量训练，纳入核心组"
A01,algorithm,大模型算法实习生（AI for Science）,科大讯飞,长沙,实习僧,https://www.shixiseng.com/intern/inn_5ubhfgenk4rx,2026-06-23,刷新日期,招聘中,硕士,"准备监督微调和偏好数据；研究多模态大模型、Agent、RAG、CoT","Python;PyTorch;微调;数据处理","Agent;RAG;Prompt Engineering;顶会论文;多模态","作为训练/论文导向算法对照，不进入核心频次分母"
A02,algorithm,大语言模型算法工程师实习生,快手,北京,实习僧,https://www.shixiseng.com/intern/inn_zwo7t7in7c0z,2026-06-18,刷新日期,已下线,本科及以上,"研究预训练、对齐、强化学习、RAG、Agent、长文本和模型应用","Python;PyTorch;微调;强化学习;分布式推理","Agent;RAG;顶会论文;开源项目","基础模型和学术产出权重明显高于应用工程"
A03,algorithm,具身智能算法实习生,美的集团（上海）,上海,实习僧,https://www.shixiseng.com/intern/inn_1ktmoxpe4ilq,2026-06-11,刷新日期,招聘中,硕士及以上,"研究 3D 场景图、VLM/VLA、机器人规划、仿真、训练评测与 Sim2Real","Python;PyTorch;微调;强化学习;数据处理;大模型评测","LangGraph;MCP;RAG;顶会论文;多模态","具身智能算法对照，相关硬件/仿真栈不属于应用开发 MVP"
A04,algorithm,大模型算法实习生（Agentic 与 RAG）,北京数据项素智能科技,北京,牛客,https://www.nowcoder.com/jobs/detail/426122,2025-11-21,投递窗口起始,已结束,硕士及以上,"提升 Agentic 框架、记忆、多 Agent、文档结构化、召回排序、蒸馏与微调","Python;PyTorch;Agent;RAG;Embedding;重排序;微调;大模型评测;数据处理","分布式推理;开源项目","投递窗口为 2025-11-21 至 2026-02-06；算法对照，不计核心分母"
